2022-05-19 11:05:02 INFO  WorkTypePage :32 - select job type list : [[[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //div[@class='govuk-radios']//div//label]]
2022-05-19 11:05:20 INFO  SelectNationalityPage :35 - click Continue Buttony : [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //button[normalize-space()='Continue']]
2022-05-19 11:05:317 INFO  ResultPage :27 - get Result and verify : [[ChromeDriver: chrome on WINDOWS (24c6457779a14054c7e21be30174d4fb)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-19 11:05:152 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:86 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 11:05:328 INFO  SelectNationalityPage :30 - select country : [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> id: response]
2022-05-19 11:05:416 INFO  SelectNationalityPage :35 - click Continue Buttony : [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //button[normalize-space()='Continue']]
2022-05-19 11:05:770 INFO  ReasonForTravelPage :35 - Reason for visit : [[[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //div[@class='govuk-radios']//div//label]]
2022-05-19 11:05:788 INFO  SelectNationalityPage :35 - click Continue Buttony : [[ChromeDriver: chrome on WINDOWS (12864f7ea3205471e5d69b1a2a601d06)] -> xpath: //button[normalize-space()='Continue']]
2022-05-19 11:05:572 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:725 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 11:05:950 INFO  SelectNationalityPage :30 - select country : [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> id: response]
2022-05-19 11:05:47 INFO  SelectNationalityPage :35 - click Continue Buttony : [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //button[normalize-space()='Continue']]
2022-05-19 11:05:313 INFO  ReasonForTravelPage :35 - Reason for visit : [[[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (a8bfb0dbeadbcd9f12527cfafa4e9eea)] -> xpath: //div[@class='govuk-radios']//div//label]]
